Model,MAE,MSE,R2,MAE_CI_low,MAE_CI_high,R2_CI_low,R2_CI_high,Inference_ms,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,Risk_PR_AUC,Risk_ROC_AUC,Risk_Brier,Risk_ECE,False_Alarms,False_Alarms_per_minute,seed,Model_Backend
Kinetic-TopoGuard,0.2938888888888888,0.4938888888888889,0.1995629159329722,0.2787465277777777,0.3073680555555555,0.1314946890845148,0.2575173589043551,4.959064833332781,0.3480861244019139,0.9938524590163934,0.5155917788802268,0.5249302649930265,0.6202777777777778,0.7940414601328735,0.9366873775826722,0.0983397364290073,0.1316416399056725,2725.0,227.08333333333331,17,scikit_learn
STGCN (w=5),0.3352965800737848,0.3857949141916936,0.3656548387675518,0.3235016378808487,0.3448907257630035,0.3338313221874531,0.3980584048473556,0.1717156250151674,0.3385272681578286,0.9532908704883228,0.4996290801186943,0.5335814283182704,0.6176303854875284,0.3334721786543082,0.7434361494032966,0.3823696145124716,0.3823696145124716,2632.0,223.80952380952385,17,pytorch
TGN (w=5),0.3680538749850255,0.5403214614379923,0.1115738130157678,0.3544218886958312,0.3815509515787029,0.044580238740436,0.1612421736351262,0.1640968749825333,0.3817282513820192,0.9285208775654636,0.5410309278350516,0.6234272550062023,0.6845238095238095,0.3593274367310738,0.775974066285833,0.3154761904761904,0.3154761904761904,2125.0,180.69727891156464,17,pytorch
GraphSAGE,0.3831442810263898,0.4091453524413539,0.3369052832824288,0.3705965451972766,0.3970468722023069,0.2998688157206682,0.3675929812950391,0.0660953124906882,0.2835294117647058,0.9877049180327868,0.4405850091407677,0.3629707112970711,0.49,0.2409537336146116,0.675337814664929,0.51,0.51,3654.0,304.5,17,pytorch
GAT,0.3836834871768951,0.4772698868711506,0.226497041835479,0.370545621883538,0.3976716554115216,0.1789411408851531,0.2719738463067594,0.1644171875341271,0.3356294536817102,0.9651639344262296,0.4980613323933733,0.5123779637377964,0.6044444444444445,0.2965996786524145,0.7387709490820129,0.3955555555555555,0.3955555555555556,2797.0,233.08333333333331,17,pytorch
GCN,0.3962917018433411,0.4789712116357368,0.2237397345458168,0.3824766090056962,0.4101273582590122,0.1788079125734392,0.2663620716456248,0.0472632812034135,0.3149372862029646,0.9433060109289616,0.47221747307232,0.4762900976290097,0.57125,0.2706990726849019,0.7097980542789857,0.42875,0.4287499999999999,3004.0,250.33333333333331,17,pytorch
PI+MLP,0.4412386088569959,0.4885832418080943,0.2081616853606347,0.4277772905375395,0.4523122309289045,0.1846500223083042,0.2278794820941634,0.0395523437646261,0.203559510567297,1.0,0.3382624768946395,0.00139470013947,0.2044444444444444,0.1645717888309718,0.5006973500697349,0.7955555555555556,0.7955555555555557,5728.0,477.3333333333333,17,pytorch
T-GCN (w=5),0.4461174764398004,0.4354638831310722,0.2839863953768119,0.4342723447339537,0.4555638497773465,0.2458929471671501,0.315607065947513,0.1563781249842577,0.2954112920279129,0.9886765746638358,0.4549006838163464,0.4095339358497253,0.5255102040816326,0.3130365281937964,0.6991052552567806,0.4744897959183674,0.4744897959183674,3332.0,283.3333333333333,17,pytorch
FANET-TopoGNN (concat),0.4471964259445667,0.4782359155542337,0.2249314160447232,0.4351163790993806,0.4610790704499102,0.1839881565514658,0.2658343182794199,0.0880007812611438,0.3132006405856783,0.9351092896174864,0.4692373607540702,0.4766387726638773,0.5698611111111112,0.2659549673547096,0.7058740311406817,0.4301388888888889,0.4301388888888889,3002.0,250.16666666666663,17,pytorch
FANET-TopoGNN,0.490077464133501,0.5066966141757328,0.1788056595686987,0.4780122419912368,0.5016526062527877,0.1227707870250605,0.2203786250321805,0.0700429687867654,0.2472462294526351,0.996584699453552,0.3961982348947725,0.2255927475592747,0.3823611111111111,0.202942714111306,0.6110887235064133,0.6176388888888888,0.6176388888888888,4442.0,370.1666666666667,17,pytorch
